fecha,zona,ttk,duracion,fibra,mufas,hilos,bandejas
7/16/2017 20:18,12,6049027,676.917,0,0,0,0
6/21/2017 9:43,12,6019293,119.1,0,0,0,0
8/3/2017 15:40,10,6069637,97.217,0,0,0,0
8/17/2017 11:09,12,6085175,95.033,21,0,1,0
7/7/2017 14:53,12,6039211,72.567,0,0,1,0
7/14/2017 11:36,11,6046554,22.5,0,0,0,0
7/23/2017 12:46,11,6055257,21.467,0,0,0,0
6/8/2017 17:51,10,6004652,20.767,0,0,0,1
6/21/2017 15:20,12,6019990,19.333,34,2,1,0
6/1/2017 16:49,11,5993750,18.667,0,0,0,0
8/7/2017 18:34,11,6073372,17.617,0,1,8,1
6/16/2017 18:45,12,6013729,17.083,132,1,8,1
7/25/2017 17:11,10,6057697,16.383,122,1,10,1
7/9/2017 17:55,11,6040416,15.117,0,0,0,0
6/7/2017 19:04,11,6002781,14.517,0,0,0,0
7/24/2017 19:06,12,6056421,14.267,0,0,0,0
6/23/2017 11:07,12,6022613,13.783,185,2,48,8
7/24/2017 20:22,10,6056625,13.683,0,0,0,0
6/11/2017 7:37,11,6007694,12.983,0,0,0,0
6/30/2017 21:41,10,6031690,12.933,0,0,0,0
7/27/2017 21:00,11,6060378,12.567,0,0,1,0
6/5/2017 20:20,10,5998998,12.1,0,0,0,0
7/23/2017 11:08,12,6055253,10.65,0,1,144,6
7/31/2017 12:21,10,6064923,9.767,0,0,0,0
7/13/2017 6:34,10,6044013,9.5,0,0,0,0
7/13/2017 12:17,12,6045491,9.483,0,0,0,0
7/9/2017 5:52,11,6039919,8.783,51,2,1,0
6/3/2017 19:29,11,5995794,8.133,0,1,0,0
8/2/2017 9:56,12,6067626,7.117,0,0,0,0
6/1/2017 2:34,11,5993020,7.083,0,0,0,0
8/16/2017 9:28,10,6083957,6.95,106,1,8,0
8/22/2017 21:27,12,6091138,6.867,0,0,0,0
7/16/2017 8:55,12,6048425,6.433,0,0,0,0
7/29/2017 12:46,12,6062960,6.183,0,0,0,0
7/27/2017 9:27,11,6056563,6.15,0,0,0,0
8/9/2017 8:59,12,6072897,6,96,1,8,1
8/7/2017 4:30,11,6072687,5.867,128,1,16,0
6/13/2017 6:16,10,6009375,5.783,0,0,0,0
8/10/2017 10:02,12,6078396,5.7,83,1,8,0
7/22/2017 11:01,12,6054677,5.567,0,0,2,0
7/4/2017 19:03,10,6035821,5.433,70,1,20,1
7/13/2017 9:37,10,6045251,5.25,0,1,144,6
8/9/2017 6:08,11,6074749,5.2,0,1,0,0
8/2/2017 11:39,10,6067623,5.15,0,0,0,0
6/6/2017 16:22,10,6000690,5.133,0,0,0,0
6/15/2017 14:34,12,6013407,5.017,526,4,96,16
7/11/2017 6:18,12,6041614,4.817,0,0,0,0
8/18/2017 4:21,10,6085338,4.783,0,0,0,0
8/16/2017 23:25,10,6084765,4.75,265,4,192,16
7/28/2017 18:36,11,6062468,4.55,0,0,12,0
7/10/2017 10:19,10,6041502,4.517,0,0,0,0
7/24/2017 20:08,10,6056399,4.5,0,2,16,1
7/18/2017 10:41,11,6050543,4.35,0,0,0,0
7/28/2017 20:05,11,6062522,4.233,0,0,1,0
6/19/2017 9:16,11,6017131,4.2,0,0,0,0
8/7/2017 10:10,12,6072889,4.2,364,2,205,12
6/19/2017 14:02,10,6017422,4.167,0,0,0,0
6/16/2017 9:12,12,6013647,4.133,150,2,8,2
8/7/2017 18:49,10,6073871,3.983,0,0,0,0
7/29/2017 14:25,10,6063069,3.917,0,0,1,0
6/20/2017 7:47,10,6017619,3.85,4,1,1,0
6/22/2017 15:09,12,6021650,3.8,56,1,16,1
6/13/2017 9:16,12,6009536,3.617,0,0,8,0
6/13/2017 11:51,10,6009691,3.6,0,0,0,0
7/14/2017 7:34,12,6046429,3.583,105,2,8,2
